2022-03-26,PI,São Gonçalo do Gurguéia,city,231,5,642,True,3041,3057,2209757,7556.42787,0.0216
2022-03-26,PI,São Félix do Piauí,city,426,4,632,True,2942,2932,2209609,14529.33151,0.0094
2022-03-26,PI,São Francisco do Piauí,city,229,10,696,True,6423,6420,2209708,3566.97819,0.0437
2022-03-26,PI,São Francisco de Assis do Piauí,city,142,3,668,True,5755,5779,2209658,2457.17252,0.0211
2022-03-26,PI,São Braz do Piauí,city,106,13,625,True,4448,4451,2209559,2381.48731,0.1226
2022-03-26,PI,Sussuapara,city,558,14,658,True,6730,6767,2210938,8245.89922,0.0251
2022-03-26,PI,Socorro do Piauí,city,218,7,679,True,4569,4563,2210904,4777.55862,0.0321
2022-03-26,PI,Simões,city,994,15,664,True,14633,14649,2210706,6785.44611,0.0151
2022-03-26,PI,Simplício Mendes,city,2000,50,683,True,12711,12746,2210805,15691.19724,0.0250
2022-03-26,PI,Sigefredo Pacheco,city,464,15,678,True,10041,10058,2210656,4613.24319,0.0323
2022-03-26,PI,Sebastião Leal,city,570,9,628,True,4294,4303,2210631,13246.57216,0.0158
2022-03-26,PI,Sebastião Barros,city,25,3,638,True,3469,3451,2210623,724.42770,0.1200
2022-03-26,PI,Santo Inácio do Piauí,city,283,6,647,True,3798,3803,2209500,7441.49356,0.0212
2022-03-26,PI,Santo Antônio dos Milagres,city,266,3,652,True,2161,2166,2209450,12280.70175,0.0113
2022-03-26,PI,Santo Antônio de Lisboa,city,125,5,672,True,6415,6441,2209401,1940.69244,0.0400
2022-03-26,PI,Santana do Piauí,city,285,7,665,True,4634,4642,2209351,6139.59500,0.0246
2022-03-26,PI,Santa Rosa do Piauí,city,193,6,642,True,5257,5255,2209377,3672.69267,0.0311
2022-03-26,PI,Santa Luz,city,260,8,686,True,5860,5882,2209302,4420.26522,0.0308
2022-03-26,PI,Santa Filomena,city,148,4,664,True,6253,6254,2209203,2366.48545,0.0270
2022-03-26,PI,Santa Cruz dos Milagres,city,289,2,631,True,4019,4033,2209153,7165.88148,0.0069
2022-03-26,PI,Santa Cruz do Piauí,city,877,15,672,True,6240,6247,2209104,14038.73859,0.0171
2022-03-26,PI,Rio Grande do Piauí,city,484,9,697,True,6432,6433,2209005,7523.70589,0.0186
2022-03-26,PI,Ribeiro Gonçalves,city,968,16,679,True,7341,7376,2208908,13123.64425,0.0165
2022-03-26,PI,Ribeira do Piauí,city,46,7,704,True,4477,4488,2208874,1024.95544,0.1522
2022-03-26,PI,Riacho Frio,city,138,5,605,True,4312,4309,2208858,3202.59921,0.0362
2022-03-26,PI,Regeneração,city,1071,26,689,True,17978,17979,2208809,5956.94977,0.0243
2022-03-26,PI,Redenção do Gurguéia,city,890,21,684,True,8778,8796,2208700,10118.23556,0.0236
2022-03-26,PI,Queimada Nova,city,750,6,694,True,8992,9017,2208650,8317.62227,0.0080
2022-03-26,PI,Prata do Piauí,city,265,5,652,True,3151,3150,2208601,8412.69841,0.0189
2022-03-26,PI,Porto,city,553,15,689,True,12568,12608,2208502,4386.10406,0.0271
2022-03-26,PI,Porto Alegre do Piauí,city,186,4,620,True,2710,2720,2208551,6838.23529,0.0215
2022-03-26,PI,Piripiri,city,13766,209,697,True,63742,63787,2208403,21581.19993,0.0152
2022-03-26,PI,Piracuruca,city,3021,106,716,True,28791,28874,2208304,10462.70001,0.0351
2022-03-26,PI,Pio IX,city,1708,23,695,True,18425,18459,2208205,9252.93895,0.0135
2022-03-26,PI,Pimenteiras,city,1332,31,709,True,12127,12139,2208106,10972.89727,0.0233
2022-03-26,PI,Picos,city,11630,182,707,True,78222,78431,2208007,14828.32043,0.0156
2022-03-26,PI,Pedro Laurentino,city,80,2,672,True,2536,2544,2207934,3144.65409,0.0250
2022-03-26,PI,Pedro II,city,5046,115,703,True,38742,38778,2207900,13012.53288,0.0228
2022-03-26,PI,Pavussu,city,502,15,677,True,3677,3669,2207850,13682.20223,0.0299
2022-03-26,PI,Paulistana,city,1308,18,673,True,20523,20554,2207801,6363.72482,0.0138
2022-03-26,PI,Pau D'Arco do Piauí,city,458,5,678,True,4045,4065,2207793,11266.91267,0.0109
2022-03-26,PI,Patos do Piauí,city,453,12,652,True,6392,6406,2207777,7071.49547,0.0265
2022-03-26,PI,Passagem Franca do Piauí,city,258,11,674,True,4313,4323,2207751,5968.07772,0.0426
2022-03-26,PI,Parnaíba,city,19497,482,725,True,153078,153482,2207702,12703.11828,0.0247
2022-03-26,PI,Parnaguá,city,327,10,672,True,10791,10819,2207603,3022.46049,0.0306
2022-03-26,PI,Paquetá,city,196,9,631,True,3945,3937,2207553,4978.40996,0.0459
2022-03-26,PI,Palmeirais,city,332,24,694,True,14539,14587,2207504,2275.99918,0.0723
